GUS,DistrictGAID,ProvinceGAID,CountryGAID,CommuneName,DistrictName,ProvinceName,GAID,OwnerGAID,Name
0385974,1078,6,1,Michów,lubartowski,Lubelskie,109173,3572,Aleksandrówka
0691234,1081,6,1,Stoczek Łukowski,łukowski,Lubelskie,109777,3615,Aleksandrówka
0613955,959,14,1,Belsk Duży,grójecki,Mazowieckie,97537,2351,Aleksandrówka
0627302,960,14,1,Kozienice,kozienicki,Mazowieckie,98036,2375,Aleksandrówka
0669890,965,14,1,Dębe Wielkie,miński,Mazowieckie,98788,2415,Aleksandrówka
0671970,1018,14,1,Grębków,węgrowski,Mazowieckie,116700,2964,Aleksandrówka
0631746,974,14,1,Policzna,zwoleński,Mazowieckie,100678,2517,Aleksandrówka
0770028,1143,20,1,Szypliszki,suwalski,Podlaskie,133248,4207,Aleksandrówka
0143490,5,24,1,Przyrów,częstochowski,Śląskie,924,414,Aleksandrówka
0287303,1212,30,1,Koło,kolski,Wielkopolskie,125849,4875,Aleksandrówka
0084333,1050,4,1,Dobrcz,bydgoski,Kujawsko-pomorskie,119819,3281,Aleksandrowo
0859076,1065,4,1,Brześć Kujawski,włocławski,Kujawsko-pomorskie,122141,3434,Aleksandrowo
0079289,1066,4,1,Barcin,żniński,Kujawsko-pomorskie,122501,3454,Aleksandrowo
0127166,966,14,1,Strzegowo,mławski,Mazowieckie,161460,2434,Aleksandrowo
0119830,967,14,1,Nasielsk,nowodworski,Mazowieckie,160091,2445,Aleksandrowo
0521992,968,14,1,Troszyn,ostrołęcki,Mazowieckie,99799,2462,Aleksandrowo
0512881,968,14,1,Lelis,ostrołęcki,Mazowieckie,99646,2455,Aleksandrowo
0576415,1005,14,1,Staroźreby,płocki,Mazowieckie,113972,2833,Aleksandrowo
0760662,1140,20,1,Krasnopol,sejneński,Podlaskie,132310,4170,Aleksandrowo
0028435,1141,20,1,Grodzisk,siemiatycki,Podlaskie,132467,4178,Aleksandrowo
0753225,1143,20,1,Bakałarzewo,suwalski,Podlaskie,133004,4200,Aleksandrowo
0764000,1198,28,1,Orzysz,piski,Warmińsko-mazurskie,123931,4737,Aleksandrowo
0183874,1217,30,1,Międzychód,międzychodzki,Wielkopolskie,126806,4946,Aleksandrowo
0531571,1231,30,1,Wapno,wągrowiecki,Wielkopolskie,142474,5132,Aleksandrowo
0564091,957,14,1,Gostynin,gostyniński,Mazowieckie,106874,2339,Aleksandrynów
0044428,1134,20,1,Zabłudów,białostocki,Podlaskie,131043,4103,Aleksicze
0757312,1140,20,1,Giby,sejneński,Podlaskie,132261,4169,Aleksiejówka
0866231,1065,4,1,Lubraniec,włocławski,Kujawsko-pomorskie,122424,3450,Agnieszkowo
0578213,1013,14,1,Szczutowo,sierpecki,Mazowieckie,115884,2922,Agnieszkowo
0536829,923,10,1,Budziszewice,tomaszowski,Łódzkie,103180,1965,Agnopol
0705574,915,10,1,Lutomiersk,pabianicki,Łódzkie,101241,1874,Albertów
0550031,923,10,1,Rokiciny,tomaszowski,Łódzkie,103265,1969,Albertów
0544438,923,10,1,Lubochnia,tomaszowski,Łódzkie,103259,1968,Albertów
0389699,1080,6,1,Puchaczów,łęczyński,Lubelskie,109626,3606,Albertów
0137785,7,24,1,Lipie,kłobucki,Śląskie,1063,603,Albertów
0298206,1230,30,1,Turek,turecki,Wielkopolskie,142331,5121,Albertów
0583875,1208,30,1,Grodzisk Wielkopolski,grodziski,Wielkopolskie,125112,4827,Albertowsko
0654635,1003,18,1,Łańcut,łańcucki,Podkarpackie,113256,2790,Albigowa
0413498,927,10,1,Głowno,zgierski,Łódzkie,103915,2007,Albinów
0676559,1012,14,1,Kotuń,siedlecki,Mazowieckie,115438,2904,Albinów
0675873,1015,14,1,Kosów Lacki,sokołowski,Mazowieckie,116276,2938,Albinów
0887641,1072,6,1,Goraj,biłgorajski,Lubelskie,123087,6256,Albinów Duży
0887658,1072,6,1,Goraj,biłgorajski,Lubelskie,123078,6256,Albinów Mały
0273608,1172,26,1,Strawczyn,kielecki,Świętokrzyskie,137354,4489,Akwizgran
0286195,1213,30,1,Kleczew,koniński,Wielkopolskie,126055,4889,Alinowo
0104751,1073,6,1,Leśniowice,chełmski,Lubelskie,123291,3515,Alojzów
0904799,1074,6,1,Werbkowice,hrubieszowski,Lubelskie,108644,3531,Alojzów
0622546,1011,14,1,Iłża,radomski,Mazowieckie,115093,2889,Alojzów
0861995,1058,4,1,Dobre,radziejowski,Kujawsko-pomorskie,121131,3369,Altana
0738088,1014,14,1,Sochaczew,sochaczewski,Mazowieckie,116155,2930,Altanka
0719027,1111,10,1,Wodzierady,łaski,Łódzkie,128854,3905,Alfonsów
0547780,914,10,1,Paradyż,opoczyński,Łódzkie,101049,1865,Alfonsów
0720763,918,10,1,Zadzim,poddębicki,Łódzkie,102083,1910,Alfonsów
0575290,1005,14,1,Słubice,płocki,Mazowieckie,113913,2830,Alfonsów
0623570,959,14,1,Jasieniec,grójecki,Mazowieckie,97743,2358,Alfonsowo
0800090,1127,18,1,Nowa Dęba,tarnobrzeski,Podkarpackie,130368,4053,Alfredówka
0314454,934,12,1,Alwernia,chrzanowski,Małopolskie,104417,2050,Alwernia
0549447,919,10,1,Radomsko,radomszczański,Łódzkie,102362,1926,Amelin
0382421,1078,6,1,Kamionka,lubartowski,Lubelskie,109105,6258,Amelin
0019175,1083,6,1,Siemień,parczewski,Lubelskie,110140,3637,Amelin
0511657,964,14,1,Krasnosielc,makowski,Mazowieckie,98569,2404,Amelin
0250168,1172,26,1,Masłów,kielecki,Świętokrzyskie,160164,4480,Ameliówka
0097212,1057,4,1,Szubin,nakielski,Kujawsko-pomorskie,152648,3366,Ameryczka
0894960,1074,6,1,Mircze,hrubieszowski,Lubelskie,123538,3528,Ameryka
0484191,1196,28,1,Olsztynek,olsztyński,Warmińsko-mazurskie,141263,4713,Ameryka
0565481,1112,10,1,Góra Świętej Małgorzaty,łęczycki,Łódzkie,128913,3908,Ambrożew
0259850,1179,26,1,Pawłów,starachowicki,Świętokrzyskie,138418,4557,Ambrożów
0413050,913,10,1,Andrespol,łódzki wschodni,Łódzkie,100809,1845,Andrespol
0806625,1177,26,1,Samborzec,sandomierski,Świętokrzyskie,138245,4542,Andruszkowice
0924023,949,12,1,Andrychów,wadowicki,Małopolskie,105997,2268,Andrychów
0396943,1137,20,1,Grabowo,kolneński,Podlaskie,131667,4135,Andrychy
0024029,1255,20,1,Boćki,bielski,Podlaskie,131181,4108,Andryjanki
0394507,969,14,1,Andrzejewo,ostrowski,Mazowieckie,99810,2464,Andrzejewo
0770034,1143,20,1,Szypliszki,suwalski,Podlaskie,133204,4207,Andrzejewo
0400567,1138,20,1,Łomża,łomżyński,Podlaskie,131890,4145,Andrzejki
0508106,968,14,1,Czerwin,ostrołęcki,Mazowieckie,99541,2452,Andrzejki-Tyszki
0711480,1109,10,1,Rusiec,bełchatowski,Łódzkie,128214,3879,Andrzejów
0203269,925,10,1,Łubnice,wieruszowski,Łódzkie,103719,1990,Andrzejów
0721656,926,10,1,Zduńska Wola,zduńskowolski,Łódzkie,103860,2000,Andrzejów
0103906,1073,6,1,Kamień,chełmski,Lubelskie,123271,3514,Andrzejów
0791148,1075,6,1,Godziszów,janowski,Lubelskie,108688,3535,Andrzejów
0108766,1089,6,1,Urszulin,włodawski,Lubelskie,110870,3696,Andrzejów
0009544,1014,14,1,Brochów,sochaczewski,Mazowieckie,115975,2925,Andrzejów
0633225,974,14,1,Przyłęk,zwoleński,Mazowieckie,97514,2518,Andrzejów
0738094,1014,14,1,Sochaczew,sochaczewski,Mazowieckie,116121,2930,Andrzejów Duranowski
0108789,1089,6,1,Urszulin,włodawski,Lubelskie,110878,3696,Andrzejów-Osada
0885725,1072,6,1,Biłgoraj,biłgorajski,Lubelskie,123042,3491,Andrzejówka
0894977,1074,6,1,Mircze,hrubieszowski,Lubelskie,123540,3528,Andrzejówka
0454741,941,12,1,Muszyna,nowosądecki,Małopolskie,105317,2160,Andrzejówka
